"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_KO"	"Conc_WT"	"Fold"	"p.value"	"FDR"	"X26DKO"	"X960DKO"	"C922"	"C923"
"850"	"chr13"	19395786	19395986	201	"*"	5.58895510984426	4.94494259854624	6.03263531852916	-0.00203129329952834	0.033224944701764	0.999683670471574	34.19	27.42	76.72	54.21
"589"	"chr11"	63922246	63922446	201	"*"	5.17709001733213	4.41740964134897	5.6721433268582	-0.00176340481068265	0.0344858050818245	0.999683670471574	21.49	21.25	63.37	38.61
"541"	"chr11"	29247331	29247531	201	"*"	5.13410074623771	4.32484793063294	5.64943237795718	-0.00158491515604472	0.0386700018436277	0.999683670471574	26.37	13.71	66.71	33.68
"2549"	"chr5"	99387591	99387791	201	"*"	4.17040572772187	3.1925126669383	4.7479233240464	-0.00126160304217132	0.0387889938284175	0.999683670471574	10.74	7.54	23.35	30.39
"1734"	"chr19"	43524555	43524755	201	"*"	5.80259282454837	5.2116528999693	6.22060977413526	-0.00204888018882599	0.0388794357986417	0.999683670471574	43.95	30.16	86.72	62.43
"3135"	"chr8"	46163582	46163782	201	"*"	4.39094789957066	3.50385200077062	4.93622297702531	-0.0013693007118182	0.0410754380707906	0.999683670471574	11.72	10.97	30.02	31.21
"492"	"chr10"	128337546	128337746	201	"*"	4.73722936868637	3.93163128003357	5.25109920869162	-0.00150810164726373	0.0419676626232086	0.999683670471574	12.7	17.82	40.03	36.14
"2528"	"chr5"	76140327	76140527	201	"*"	4.13598190613026	3.11330659997006	4.72842432894516	-0.00122651395353727	0.0419898986735887	0.999683670471574	9.77	7.54	30.02	23
"457"	"chr10"	110707413	110707613	201	"*"	5.26812662781579	4.6169864881671	5.71514833673236	-0.00173373175863513	0.0420908331647944	0.999683670471574	31.26	17.82	50.03	55.03
"1502"	"chr17"	61795126	61795326	201	"*"	1.81615406261363	2.81615406261363	0	0.000422734021568961	0.044048734784695	0.999683670471574	5.86	8.23	0	0
"3062"	"chr7"	135986158	135986358	201	"*"	4.65261292423663	3.8353423267972	5.17113336339979	-0.00142613220735011	0.0454756017186759	0.999683670471574	17.58	10.97	40.03	32.03
"476"	"chr10"	121626511	121626711	201	"*"	3.59437892469872	4.38347005970665	1.71613423829379	0.000822408252949247	0.0476564415434391	0.999683670471574	27.35	14.39	0	6.57
"3266"	"chr8"	123042330	123042530	201	"*"	5.23436528827163	4.5562732311115	5.69380606683746	-0.00167246323553157	0.0483507566503568	0.999683670471574	17.58	29.47	56.7	46.82
"2477"	"chr5"	33378471	33378671	201	"*"	3.74425160540186	4.4494539576903	2.30839238737868	0.000909491794564403	0.05059786293176	0.999683670471574	29.3	14.39	3.34	6.57
"3265"	"chr8"	122678328	122678528	201	"*"	3.42982851979399	1.89470290915065	4.15661676501303	-0.000835999871096949	0.050622845389439	0.999683670471574	1.95	5.48	23.35	12.32
"1416"	"chr17"	24470268	24470468	201	"*"	5.06719043760676	4.40696670262807	5.51843567825993	-0.00151197124210205	0.0515590399804975	0.999683670471574	27.35	15.08	33.36	58.32
"20"	"chr1"	19535568	19535768	201	"*"	1.733081048301	2.733081048301	0	0.000401945424761372	0.0519049771342523	0.999683670471574	7.81	5.48	0	0
"645"	"chr11"	99024251	99024451	201	"*"	5.2044380288861	4.45001164021619	5.69728384301585	-0.00152811358612518	0.052831187013508	0.999683670471574	22.47	21.25	73.38	30.39
"1219"	"chr15"	84156067	84156267	201	"*"	3.87006187338249	2.80559208286366	4.47588960303662	-0.000994650292117138	0.0528671705786089	0.999683670471574	7.81	6.17	10.01	34.5
"742"	"chr12"	69159020	69159220	201	"*"	4.50112362548216	3.70112113101125	5.01274530341734	-0.00134313494440734	0.053887868202417	0.999683670471574	13.67	12.34	33.36	31.21
"2182"	"chr3"	127124374	127124574	201	"*"	4.08091684347858	3.03706253217506	4.68020613265078	-0.00102646039877408	0.0542729024799892	0.999683670471574	13.67	2.74	23.35	27.93
"1296"	"chr16"	38089067	38089267	201	"*"	6.50314304198561	5.99328458981461	6.87910957314587	-0.00204238724810438	0.054277736074955	0.999683670471574	73.26	54.15	143.43	92
"2717"	"chr6"	70844195	70844395	201	"*"	6.93354302121749	6.42778907399637	7.30728340529862	-0.00200663427093468	0.0568800316811812	0.999683670471574	101.58	70.6	200.13	116.64
"1383"	"chr17"	5189910	5190110	201	"*"	4.95114729025075	4.26437678073864	5.41451554823337	-0.00152300366283619	0.0569097482136532	0.999683670471574	18.56	19.88	46.7	38.61
"657"	"chr11"	106084237	106084437	201	"*"	5.91092448050426	5.44036429693478	6.26516863337194	-0.00202333491953819	0.0569523402003545	0.999683670471574	42.98	43.87	70.05	83.78
"3444"	"chrX"	23692844	23693044	201	"*"	3.98405810243963	3.02039260918121	4.55670286222766	-0.00104726390201325	0.0580621670971806	0.999683670471574	10.74	5.48	16.68	30.39
"3207"	"chr8"	84104877	84105077	201	"*"	6.1325319956722	5.63151798748236	6.50368940044525	-0.00199991096808304	0.0588406748617934	0.999683670471574	56.65	42.5	106.74	74.75
"2494"	"chr5"	43354606	43354806	201	"*"	5.00453205501777	4.38049992502839	5.43871463458094	-0.00150537581319031	0.0593157809404819	0.999683670471574	22.47	19.19	33.36	53.39
"3162"	"chr8"	69774810	69775010	201	"*"	4.48409905926771	3.64094888639254	5.01274530341734	-0.00124911585528664	0.0598588225194028	0.999683670471574	7.81	17.14	33.36	31.21
"3373"	"chr9"	90054798	90054998	201	"*"	3.67590447391689	2.5168599695782	4.3102105493558	-0.000927884689377242	0.0599836316854389	0.999683670471574	3.91	7.54	16.68	23
"1816"	"chr2"	39373168	39373368	201	"*"	4.75171643208551	3.97708145137325	5.25299097921826	-0.00137838462216846	0.0600194458741868	0.999683670471574	13.67	17.82	46.7	29.57
"2968"	"chr7"	83891907	83892107	201	"*"	5.86932456863922	5.37187099076795	6.23853310712542	-0.00176915790400599	0.0602672395072047	0.999683670471574	47.86	34.96	46.7	104.32
"797"	"chr12"	108312542	108312742	201	"*"	4.17245944764958	3.25987909550974	4.72706392214989	-0.0011061773242755	0.0612778291526603	0.999683670471574	13.67	5.48	26.68	26.28
"3061"	"chr7"	133793588	133793788	201	"*"	4.31675332873552	3.4539547327971	4.85292080955047	-0.00114928777101315	0.0614310373554388	0.999683670471574	6.84	15.08	20.01	37.78
"48"	"chr1"	45432037	45432237	201	"*"	4.342829512953	3.5404359703586	4.85541334675484	-0.00122164785312719	0.062044502116844	0.999683670471574	13.67	9.6	26.68	31.21
"3461"	"chrX"	102119147	102119347	201	"*"	4.41690491127514	3.59463832583556	4.93739985997327	-0.00123906449313652	0.0640760918787723	0.999683670471574	9.77	14.39	33.36	27.93
"3105"	"chr8"	22166307	22166507	201	"*"	4.51602530813886	3.66163364972806	5.04899201703725	-0.00113562272374311	0.0644128200928828	0.999683670471574	20.51	4.8	33.36	32.86
"1575"	"chr18"	10725420	10725620	201	"*"	3.98980860205715	2.95969957539134	4.5846694067836	-0.00101246354111705	0.0644551923174957	0.999683670471574	3.91	11.65	23.35	24.64
"3065"	"chr7"	138846255	138846455	201	"*"	3.79540384857826	2.733081048301	4.40055635832768	-0.000973562296601581	0.0646792416917588	0.999683670471574	7.81	5.48	23.35	18.89
"2647"	"chr6"	23132983	23133183	201	"*"	5.16842903158687	4.500043130277	5.62343633140395	-0.00142641660265214	0.0664931488578515	0.999683670471574	32.23	13.02	56.7	41.89
"1871"	"chr2"	84678112	84678312	201	"*"	7.01357545987877	6.35582082191963	7.46367651474362	-0.0014569889797582	0.0673006250033887	0.999683670471574	124.05	39.75	263.51	89.53
"896"	"chr13"	58128656	58128856	201	"*"	4.56258999790562	5.1593458030031	3.52662038548305	0.00113086589109791	0.0687926236500864	0.999683670471574	42	29.47	3.34	19.71
"3078"	"chr7"	143549053	143549253	201	"*"	6.13174888050886	5.65304442838403	6.49057072769197	-0.00193826917691232	0.0706986448143824	0.999683670471574	47.86	52.78	106.74	73.1
"444"	"chr10"	96616793	96616993	201	"*"	5.22226548752616	4.64541771417203	5.63322844259902	-0.00151386613722867	0.0708772034192096	0.999683670471574	32.23	17.82	46.7	52.57
"406"	"chr10"	80399568	80399768	201	"*"	5.92151361268324	5.43837543760634	6.28281064812774	-0.00184701615806907	0.0717049933766537	0.999683670471574	51.77	34.96	86.72	69
"1441"	"chr17"	32321135	32321335	201	"*"	3.91865718066431	2.92268834118699	4.50227345424888	-0.000924360935456838	0.0717845660355245	0.999683670471574	4.88	10.28	10.01	35.32
"3185"	"chr8"	72548288	72548488	201	"*"	4.81572738612648	4.12894238314679	5.27910217455552	-0.00125093925475318	0.0722566996912106	0.999683670471574	25.4	9.6	30.02	47.64
"1641"	"chr18"	64661065	64661265	201	"*"	4.69766298371363	4.02949810084995	5.15256882186	-0.00133243276530883	0.0724618443395339	0.999683670471574	17.58	15.08	33.36	37.78
"865"	"chr13"	32764513	32764713	201	"*"	3.9380458087427	2.98492501127727	4.50703717494115	-0.000962190815738879	0.072739494158274	0.999683670471574	11.72	4.11	20.01	25.46
"2331"	"chr4"	76962697	76962897	201	"*"	3.83752586389324	2.82492039965066	4.42666582882035	-0.00091970803526874	0.0728362967222112	0.999683670471574	10.74	3.43	20.01	23
"2181"	"chr3"	127123547	127123747	201	"*"	4.96319681394888	4.34322160483182	5.39542709260671	-0.00134869596679261	0.0740190301831227	0.999683670471574	16.6	23.99	26.68	57.5
"1885"	"chr2"	104590238	104590438	201	"*"	4.88510857242639	4.2527605136397	5.32326770387818	-0.00130514053193674	0.0740761188534111	0.999683670471574	24.42	13.71	26.68	53.39
"3323"	"chr9"	41157530	41157730	201	"*"	2.73938989397723	3.59975538879422	0.301096739014951	0.000532169875434893	0.0745177816527616	0.999683670471574	14.65	9.6	0	2.46
"2327"	"chr4"	73047903	73048103	201	"*"	5.44301603401416	4.8859732007473	5.84388843257161	-0.00147890486937202	0.0748346262408793	0.999683670471574	42	17.14	46.7	68.18
"658"	"chr11"	106788962	106789162	201	"*"	4.35765296953612	3.54148299055265	4.87573713909622	-0.00112325823051585	0.0756038650181549	0.999683670471574	6.84	16.45	26.68	32.03
"2432"	"chr4"	155066729	155066929	201	"*"	4.0679731689047	3.03854648395008	4.66261267777912	-0.000988868046909826	0.075625855329097	0.999683670471574	6.84	9.6	36.69	13.96
"387"	"chr10"	75789937	75790137	201	"*"	4.022626288823	3.16933954129354	4.55517040628857	-0.000991953110937886	0.0778269139214074	0.999683670471574	9.77	8.23	13.34	33.68
"2873"	"chr7"	25395759	25395959	201	"*"	4.38703542993876	3.47966540987181	4.93975074964138	-0.00107654205430168	0.0779184366177291	0.999683670471574	5.86	16.45	40.03	21.36
"2406"	"chr4"	139574376	139574576	201	"*"	5.39990908234298	4.85725920210485	5.79331561669729	-0.00153467405120079	0.079202453199676	0.999683670471574	38.09	19.88	56.7	54.21
"2361"	"chr4"	114999887	115000087	201	"*"	5.22280097055517	4.67329945656696	5.61977567084561	-0.00143876596660735	0.0804709618793392	0.999683670471574	33.21	17.82	40.03	58.32
"1798"	"chr2"	30807691	30807891	201	"*"	5.71902636820135	5.26083295933631	6.0662416457535	-0.00175912263586703	0.0817519500286335	0.999683670471574	34.19	42.5	63.37	70.64
"1193"	"chr15"	76351122	76351322	201	"*"	7.42474644536315	6.95573796424034	7.77811383337333	-0.00179160840471189	0.0825019502771236	0.999683670471574	140.65	107.61	300.2	138.81
"2280"	"chr4"	35096849	35097049	201	"*"	5.06234784410305	4.46576472750142	5.4831607381313	-0.00140045760892216	0.0850777294911447	0.999683670471574	26.37	17.82	50.03	39.43
"1819"	"chr2"	44926943	44927143	201	"*"	4.7539766341063	4.14159508698878	5.18253068407116	-0.00123856468427968	0.0859282488161663	0.999683670471574	19.54	15.76	23.35	49.28
"3149"	"chr8"	59768298	59768498	201	"*"	4.4685846377971	3.72281392150737	4.9577686996858	-0.00117100955410069	0.0864683532400688	0.999683670471574	12.7	13.71	36.69	25.46
"1426"	"chr17"	25919927	25920127	201	"*"	7.0444677162229	6.60496936032904	7.38087569654261	-0.00184770621437353	0.0869459405659451	0.999683670471574	110.37	84.31	210.14	123.21
"1832"	"chr2"	60284343	60284543	201	"*"	4.82797342891014	4.23054252080016	5.2492049542754	-0.00129112178781925	0.0886858139047643	0.999683670471574	22.47	15.08	33.36	42.71
"2323"	"chr4"	70410432	70410632	201	"*"	5.08773108371387	4.52495237184072	5.49154744628844	-0.00130157119250289	0.0890635115822717	0.999683670471574	30.28	15.76	30.02	59.96
"2449"	"chr5"	21424696	21424896	201	"*"	5.77549788961372	5.34139473175498	6.10874559983556	-0.00169698793354255	0.0897251570572856	0.999683670471574	35.16	45.92	56.7	81.32
"982"	"chr13"	111686188	111686388	201	"*"	3.65244481005004	4.36678688983311	2.17556585693109	0.000743599879652378	0.090513216860854	0.999683670471574	23.44	17.82	0	9.04
"2441"	"chr5"	5514715	5514915	201	"*"	4.41474471523053	3.73864388713479	4.87327949875421	-0.00111942133115679	0.0905877291469914	0.999683670471574	13.67	13.02	20.01	38.61
"988"	"chr13"	118350291	118350491	201	"*"	3.10775666350084	1.64493068686401	3.81900326476371	-0.000631323501186022	0.0909207922774954	0.999683670471574	4.88	1.37	20.01	8.21
"2179"	"chr3"	126695573	126695773	201	"*"	5.1509581855021	4.63151798748236	5.53208372961032	-0.0014102728362512	0.0909696066610336	0.999683670471574	28.33	21.25	36.69	55.85
"2362"	"chr4"	116221306	116221506	201	"*"	4.91772819784027	4.34626940396582	5.32596614771601	-0.0013427407239607	0.0910356822453454	0.999683670471574	21.49	19.19	36.69	43.53
"867"	"chr13"	33004569	33004769	201	"*"	4.4979423221338	3.57713659069351	5.05551030193773	-0.000999771626949844	0.0920099740891318	0.999683670471574	8.79	15.08	53.37	13.14
"372"	"chr10"	62651222	62651422	201	"*"	5.03318045271313	4.4005396523404	5.47147895265926	-0.00132231956482695	0.0921814458267424	0.999683670471574	24.42	17.82	56.7	32.03
"635"	"chr11"	95858812	95859012	201	"*"	4.67268878247558	4.02114339887944	5.11989974640898	-0.00123518749591788	0.0931145218335826	0.999683670471574	14.65	17.82	36.69	32.86
"2505"	"chr5"	52833993	52834193	201	"*"	5.07395359740054	4.50058159972913	5.4831607381313	-0.00138665858609138	0.093159423721012	0.999683670471574	25.4	19.88	50.03	39.43
"13"	"chr1"	13372538	13372738	201	"*"	5.06366737331584	4.49784326093676	5.46903962199223	-0.00139216564984987	0.0938971898498657	0.999683670471574	20.51	24.68	46.7	41.89
"2823"	"chr6"	149188720	149188920	201	"*"	4.45691948567807	3.78061843315436	4.91554545219558	-0.0011406606774779	0.0951024447471955	0.999683670471574	11.72	15.76	26.68	33.68
"1351"	"chr16"	78631909	78632109	201	"*"	4.43658393446519	3.76434827725053	4.89335488809983	-0.00107878926504495	0.0954174351208526	0.999683670471574	17.58	9.6	20.01	39.43
"1107"	"chr14"	103346942	103347142	201	"*"	4.47030071119725	3.77521540984723	4.93739985997327	-0.0011518499094512	0.0956097360622217	0.999683670471574	13.67	13.71	33.36	27.93
"1597"	"chr18"	34931978	34932178	201	"*"	5.87050456770663	5.37991470889275	6.23593503410386	-0.00153339829799816	0.0959715417705535	0.999683670471574	58.61	24.68	83.39	67.35
"2"	"chr1"	4671239	4671439	201	"*"	3.18330268991515	1.89470290915065	3.85292080955047	-0.000660872587967374	0.0962492353128816	0.999683670471574	1.95	5.48	10.01	18.89
"1145"	"chr15"	34082619	34082819	201	"*"	2.6261110720915	1.00352781619973	3.37048451068048	-0.000551260566498457	0.0963696508888878	0.999683670471574	1.95	2.06	10.01	10.68
"297"	"chr10"	13008247	13008447	201	"*"	4.4592402424708	3.79582994337878	4.91195791760889	-0.00108010627389413	0.0969419456019656	0.999683670471574	12.7	15.08	16.68	43.53
"2992"	"chr7"	100372054	100372254	201	"*"	5.72239985625781	5.1165290593976	6.14777896037771	-0.00128109739388764	0.0973688657711549	0.999683670471574	55.68	13.71	90.06	51.75
"1775"	"chr2"	18392520	18392720	201	"*"	4.41451498643693	3.57713659069351	4.9409247594827	-0.00103652246607359	0.0975725469689569	0.999683670471574	8.79	15.08	43.36	18.07
"2180"	"chr3"	127005296	127005496	201	"*"	5.15672001172786	4.62852484076737	5.54251362856689	-0.00128417143478464	0.0978353224905273	0.999683670471574	30.28	19.19	26.68	66.53
"3024"	"chr7"	113260648	113260848	201	"*"	4.42134615543636	3.7543020420147	4.87573713909622	-0.00112459400706465	0.0979912400512199	0.999683670471574	14.65	12.34	26.68	32.03
"2877"	"chr7"	25754945	25755145	201	"*"	5.39159033008577	4.91493500142731	5.74926421180285	-0.00152941526028359	0.0989318031489981	0.999683670471574	32.23	28.1	53.37	54.21
"617"	"chr11"	77982457	77982657	201	"*"	5.65374492769083	5.15519205053569	6.02355598207484	-0.00152378444816641	0.0990280146353102	0.999683670471574	45.91	25.36	76.72	53.39
"325"	"chr10"	30618173	30618373	201	"*"	5.45322052836079	4.98998179154702	5.80331482565893	-0.00153944397978532	0.0995018638585737	0.999683670471574	36.14	27.42	53.37	58.32
"3462"	"chrX"	106186908	106187108	201	"*"	5.10833606115113	4.52225994484005	5.52393004604098	-0.00134786887441426	0.0996392442509759	0.999683670471574	25.4	20.56	56.7	35.32
"2226"	"chr3"	152714134	152714334	201	"*"	3.90241803592543	2.90300604974331	4.48718447877018	-0.000850110669260658	0.102226792742744	0.999683670471574	8.79	6.17	33.36	11.5
"3440"	"chrX"	7947836	7948036	201	"*"	4.77500086588555	4.12894238314679	5.21964272840586	-0.00113768282720331	0.103598905190335	0.999683670471574	25.4	9.6	40.03	34.5
"829"	"chr13"	6548020	6548220	201	"*"	5.24485312573886	4.68198732106453	5.64871405274093	-0.00138158825396554	0.103605877825566	0.999683670471574	27.35	23.99	63.37	36.96
"1853"	"chr2"	73214158	73214358	201	"*"	3.87668849871883	2.96763794654623	4.4300141594158	-0.000884616170871334	0.103856568229524	0.999683670471574	8.79	6.85	26.68	16.43
"3140"	"chr8"	47533449	47533649	201	"*"	5.05348304273791	4.4940184725494	5.45560056890797	-0.0012868224114648	0.105161226586854	0.999683670471574	29.3	15.76	46.7	41.07
"3132"	"chr8"	45239453	45239653	201	"*"	4.35945435020477	3.63997164390952	4.8373231653495	-0.00105851215987348	0.105959287068228	0.999683670471574	14.65	10.28	33.36	23.82
"3300"	"chr9"	22002749	22002949	201	"*"	4.80015104768456	4.24560663284054	5.19973557071834	-0.00119851573319086	0.106867320571996	0.999683670471574	21.49	16.45	26.68	46.82
"2381"	"chr4"	127021086	127021286	201	"*"	5.36286374092184	4.8504130160417	5.74023121293407	-0.00144939487407194	0.107144109866634	0.999683670471574	30.28	27.42	63.37	43.53
"218"	"chr1"	164307505	164307705	201	"*"	4.35349173319031	3.67329945656696	4.81388612781654	-0.00104099844716555	0.1079399483505	0.999683670471574	16.6	8.91	26.68	29.57
"608"	"chr11"	72607162	72607362	201	"*"	3.60954684455168	4.31432303752561	2.17556585693109	0.000686754997063459	0.108176028778943	0.999683670471574	25.4	14.39	0	9.04
"1252"	"chr15"	102625061	102625261	201	"*"	6.09864293347931	5.66843713732778	6.42959604282652	-0.0017017760809233	0.108526362252881	0.999683670471574	46.88	54.83	103.4	69
"1638"	"chr18"	61438132	61438332	201	"*"	4.07035227255934	3.25987909550974	4.58617086267863	-0.000915009882773496	0.108614431933235	0.999683670471574	13.67	5.48	26.68	21.36
"2547"	"chr5"	98329320	98329520	201	"*"	4.0787882342998	3.2892544260108	4.58617086267863	-0.000938508052390578	0.109367429958014	0.999683670471574	12.7	6.85	26.68	21.36
"3362"	"chr9"	83441063	83441263	201	"*"	4.85737947490535	4.24950839737247	5.28373627894874	-0.00122917431271654	0.109400046888425	0.999683670471574	19.54	18.51	46.7	31.21
"2609"	"chr5"	138622713	138622913	201	"*"	3.88382424597304	2.99425639772193	4.4300141594158	-0.000866115730895528	0.109918232034726	0.999683670471574	9.77	6.17	26.68	16.43
"2661"	"chr6"	30401741	30401941	201	"*"	5.32586143357535	4.73818734080994	5.74225282007111	-0.00128467233894704	0.11002622655623	0.999683670471574	34.19	19.19	73.38	33.68
"2649"	"chr6"	23839198	23839398	201	"*"	4.32076477794705	3.61193028486722	4.79396545007427	-0.00104537687728311	0.110270526990435	0.999683670471574	10.74	13.71	30.02	25.46
"1488"	"chr17"	55891873	55892073	201	"*"	4.37135500282765	3.57713659069351	4.88063989550908	-0.00100010632698435	0.110932054655116	0.999683670471574	8.79	15.08	40.03	18.89
"2047"	"chr3"	32529337	32529537	201	"*"	4.41647866293014	3.78511755991998	4.85416761644564	-0.00105909089669264	0.111749219316651	0.999683670471574	16.6	10.97	23.35	34.5
"2927"	"chr7"	45395707	45395907	201	"*"	5.54656222287576	5.11936520390898	5.87573713909622	-0.00151608125152781	0.111943694363852	0.999683670471574	40.05	29.47	53.37	64.07
"3316"	"chr9"	35570120	35570320	201	"*"	5.26179980884792	4.76161865561225	5.63250200183874	-0.0013005432915307	0.112151634153651	0.999683670471574	37.12	17.14	43.36	55.85
"1241"	"chr15"	100227869	100228069	201	"*"	3.30463733758664	4.04231000995837	1.71613423829379	0.000612929274240452	0.112248989698202	0.999683670471574	18.56	14.39	0	6.57
"2578"	"chr5"	122707476	122707676	201	"*"	4.12701699341687	3.40111656333479	4.60767550362555	-0.000960453152326841	0.112671620352115	0.999683670471574	8.79	12.34	20.01	28.75
"1439"	"chr17"	30004537	30004737	201	"*"	3.58348715035526	4.28227967034761	2.17556585693109	0.000678071436674637	0.113521340293718	0.999683670471574	22.47	16.45	0	9.04
"1958"	"chr2"	144556118	144556318	201	"*"	4.5580139990789	3.86957083826453	5.02213529015463	-0.000916724244463022	0.114560669396423	0.999683670471574	17.58	11.65	6.67	58.32
"301"	"chr10"	14705512	14705712	201	"*"	4.91265222347193	4.39055458358481	5.29519928625852	-0.00123826666579112	0.11483145483804	0.999683670471574	23.44	18.51	33.36	45.18
"1685"	"chr19"	6363570	6363770	201	"*"	6.08527191703066	5.65795881472426	6.41451554823337	-0.00156040069275859	0.114844741778585	0.999683670471574	67.4	33.59	93.39	77.21
"3091"	"chr8"	9976374	9976574	201	"*"	4.9961854865243	4.43065200704758	5.4014094657753	-0.00125755076248069	0.117417589526871	0.999683670471574	20.51	22.62	50.03	34.5
"1360"	"chr16"	87354248	87354448	201	"*"	4.06336736414763	3.29681579734997	4.56129048737599	-0.000926001732355046	0.119362219935001	0.999683670471574	10.74	8.91	26.68	20.53
"1498"	"chr17"	57032013	57032213	201	"*"	6.82195293458296	6.40039538853809	7.14777896037771	-0.00158879312752947	0.119605069674121	0.999683670471574	104.51	64.43	180.12	103.49
"567"	"chr11"	50325632	50325832	201	"*"	6.78759451912544	6.39702617059731	7.09463940616644	-0.00165933305857705	0.119932872974512	0.999683670471574	105.49	63.06	153.43	119.92
"1864"	"chr2"	79369095	79369295	201	"*"	5.0598566626233	4.54309472021084	5.43954548013203	-0.0011859881964073	0.122618805190577	0.999683670471574	32.23	14.39	36.69	50.1
"1729"	"chr19"	41933265	41933465	201	"*"	5.07273505923128	4.57662595457208	5.44120573716302	-0.00129286193728037	0.123483601773116	0.999683670471574	24.42	23.3	43.36	43.53
"420"	"chr10"	84576627	84576827	201	"*"	4.29651417606915	4.81572140099718	3.47750858075342	0.000943920196919253	0.124010988902361	0.999683670471574	30.28	26.05	6.67	15.61
"786"	"chr12"	100281526	100281726	201	"*"	3.61324202655773	2.64493068686401	4.18748505475024	-0.000716415066141806	0.124048326430051	0.999683670471574	9.77	2.74	20.01	16.43
"3206"	"chr8"	84066601	84066801	201	"*"	6.60743389726973	6.14019939449769	6.95979711657458	-0.00141885721061099	0.124712848861266	0.999683670471574	93.77	47.29	170.11	78.85
"227"	"chr1"	166002797	166002997	201	"*"	4.40514056103525	3.79048369440343	4.83479914952566	-0.00103818328434952	0.126067413541496	0.999683670471574	14.65	13.02	26.68	30.39
